Door_Number,Hardware_Type,Description,Quantity,Finish,Specification
101-110,"Cylindrical Lockset","Entrance Function, Grade 1",10,"US26D (Satin Chrome)","Schlage ND53PD-RHO-626"
101-110,"Ball Bearing Hinge","4.5 x 4.5, 5-Knuckle, NRP",30,"US26D","Hager BB1279 4.5x4.5 US26D NRP"
101-110,"Door Closer","Surface Mounted, Size 4, ADA",10,—,"LCN 4040XP-RW/PA"
111-115,"Cylindrical Lockset","Privacy Function, Grade 2",5,"US26D","Schlage ND40S-RHO-626"
111-115,"Ball Bearing Hinge","4.5 x 4.5, 5-Knuckle",15,"US26D","Hager BB1279 4.5x4.5 US26D"
111-115,"Door Closer","Surface Mounted, Size 3",5,—,"LCN 4030-Series"
116-118,"Mortise Lock","Classroom Function, Grade 1",3,"US26D","Schlage L9070P-06A-626"
116-118,"Continuous Hinge","83 in, Aluminum",3,—,"Pemko CFM83HD"
116-118,"Door Closer","Surface Mounted, Size 4, Hold Open",3,—,"LCN 4040XP-SHCUSH"
EXT-1,"Panic Hardware","Rim Exit Device, Grade 1",2,—,"Von Duprin 99L-06-F 3ft"
EXT-1,"Door Closer","Surface Mounted, Size 5, Ext Arm",2,—,"LCN 4040XP-EDA"
EXT-1,"Threshold","Saddle Type, 5 in wide, 36 in",2,"Aluminum","Pemko 271A36"
ALL,"Kick Plate","10 x 34, B4E",18,"US32D (Satin SS)","Ives 8400 10x34 630"
ALL,"Wall Stop","Convex, Rigid",18,—,"Ives WS401CVX 630"
ALL,"Silencer Set","3 per frame",18 sets,—,"Ives SR64"
ALL,"Smoke Seal","Self-Adhesive, Per Frame",10,—,"Pemko S88D"
ALL,"Door Bottom Sweep","36 in",18,—,"Pemko 315CN 36"
